formula,mp_source_index,mp_material_id,mp_dielectric_task_id,mp_nsites,matbench_index,matbench_n,matbench_nsites
Al11NO15,1405,mp-675682,mp-1117861,27,2433,1.8111023346753952,27
Al2(FeSi)3,3194,mp-29110,mp-1140500,16,1436,5.444967095094944,16
Al2CdO4,3671,mp-36866,mp-1116918,56,2266,1.9336020790224673,14
Al2CdS4,5123,mp-5928,mp-1141499,7,1931,2.2383008436460603,7
Al2CdSe4,5096,mp-3159,mp-1140913,7,3668,2.4790242704203873,7
Al2CdTe4,5135,mp-7909,mp-1140186,7,4548,2.822188925875327,7
Al2CoO4,3670,mp-36447,mp-1116884,56,2272,1.9025206963394636,14
Al2HgO4,3694,mp-756317,mp-1117472,56,562,2.143739489770159,14
Al2HgS4,5132,mp-7906,mp-1119864,14,2281,2.3882519409252727,7
Al2HgSe4,5094,mp-3038,mp-1142146,7,246,2.670568541216146,7
Al2HgTe4,5136,mp-7910,mp-1141089,7,151,3.054270234715106,7
Al2O3,49,mp-752826,mp-1117949,25,3399,1.7504500373713423,25
Al2O3,134,mp-7048,mp-1140716,10,3474,1.7786699150464533,10
Al2O3,135,mp-754812,mp-1116928,10,1178,1.6811088488396426,10
Al2O3,301,mp-1143,mp-1141204,10,4255,1.7939713858582833,10
Al2O3,431,mp-32570,mp-1117793,80,2094,1.7814735473758796,40
Al2O3,488,mp-755483,mp-1119717,15,560,1.8111663829330193,5
Al2O3,987,mp-754401,mp-1119706,20,3436,1.6206685863145085,10
Al2Os,196,mp-7188,mp-1141925,3,852,4.159647420954114,3
Al2PbO4,4049,mp-21892,mp-1116888,28,578,1.9122249693311018,14
Al2PdCl8,1571,mp-27452,mp-1141052,22,1349,1.6232683080747925,22
Al2Se3,1321,mp-11674,mp-1142170,10,2349,2.434216437925491,10
Al2Si2H4O9,5447,mp-541152,mp-1117166,17,1603,1.5992804632083768,17
Al2Te5,140,mp-9254,mp-1140983,7,299,3.0009998333909347,7
Al2ZnSe4,5133,mp-7907,mp-1140556,7,1157,2.5052069774771106,7
Al2ZnTe4,5134,mp-7908,mp-1140852,7,2031,2.874087275408781,7
Al3GaN4,3886,mp-1019378,mp-1115518,8,3284,2.2139889340283525,8
Al3NO3,4793,mp-675601,mp-1117866,28,237,1.9045086855494604,28
Al3Si2H3O10,6449,mp-24601,mp-1117720,36,3839,1.713032885459782,36
Al4(B2O5)3,2025,mp-31408,mp-1140372,25,1489,1.6415439886477827,25
Al4C3,275,mp-1591,mp-1142287,7,3728,2.8576213885023467,7
Al5BO9,4174,mp-3281,mp-1117662,60,3167,1.6438822950564314,30
Al5CuS8,3952,mp-35267,mp-1116872,56,1945,2.6069004583988242,14
Al5CuSe8,3959,mp-37405,mp-1116954,56,2262,2.949792196070769,14
Al6Cd4SO12,6285,mp-9203,mp-1117492,46,2520,1.8075239970744517,23
Al6Cd4TeO12,6287,mp-9535,mp-1117491,46,1625,1.8712217933745856,23
Al7Te10,460,mp-14506,mp-1115822,34,4364,2.73236033494852,34
AlAgO2,3294,mp-9631,mp-1141421,8,29,2.4161255486142887,8
AlAgS2,1952,mp-5782,mp-1140426,8,3420,2.3976252139704126,8
AlAgS2,2878,mp-7885,mp-1119863,4,2034,2.7693738161059644,4
AlAgSe2,1890,mp-14091,mp-1141106,8,1275,2.6408996573137724,8
AlAgTe2,1891,mp-14092,mp-1142145,8,1604,2.9595749131702456,8
AlAs,641,mp-8881,mp-1119907,4,4146,3.0768597628101286,4
AlAs,800,mp-2172,mp-1114869,8,1364,3.0839580087932483,2
AlAsO4,5131,mp-7849,mp-1140616,6,2005,1.5550667724141836,6
AlBiBr6,3204,mp-31268,mp-1142011,16,1218,1.852925614624973,16
AlBiO3,2965,mp-551918,mp-1115379,30,3175,2.4508482205146924,10
AlCl3,107,mp-25469,mp-1141734,8,3972,1.6875030864228973,8
AlClO,4333,mp-27863,mp-1140534,6,1573,1.7307821931138532,6
AlCo(WO4)2,5427,mp-1047724,mp-1117614,12,4670,3.641049024663085,12
AlCuCl4,1179,mp-28020,mp-1114971,12,112,1.7202859258468248,12
AlCuO2,2653,mp-3748,mp-1140797,4,3246,2.359020983374247,4
AlCuO2,3256,mp-3098,mp-1142177,8,569,2.358862790979302,8
AlCuS2,1943,mp-4979,mp-1141352,8,4094,2.5695894613731585,8
AlCuSe2,1958,mp-8016,mp-1141064,8,2054,2.8945350805287013,8
AlCuTe2,1959,mp-8017,mp-1140760,8,2115,3.1568697576343987,8
AlF3,309,mp-468,mp-1141875,8,4116,1.3939153489216007,8
AlF3,842,mp-8039,mp-1142159,12,4567,1.3797342255103051,4
AlFe(WO4)2,5426,mp-1047560,mp-1117609,12,4657,2.132404198707803,12
AlFeF5,4953,mp-28901,mp-1141561,7,169,1.459316735096724,7
AlGa3N4,3889,mp-1019508,mp-1115521,8,4599,2.3573234822569424,8
AlGaCl4,2251,mp-541111,mp-1141893,24,2699,1.7242389625571046,24
AlGaN2,1203,mp-1008556,mp-1116677,4,2562,2.2850382199575274,4
AlGaO3,4488,mp-772898,mp-1118037,40,3096,1.929709131795083,40
AlH3,306,mp-23933,mp-1140611,8,1188,2.1195911555375093,8
AlHO2,4197,mp-625054,mp-1119603,16,3520,1.7048998015523766,8
AlHO2,4377,mp-23807,mp-1115342,8,4090,1.7855760975102684,8
AlHO2,4788,mp-625152,mp-1141203,16,1743,1.7590717248973484,16
AlHO2,4789,mp-625404,mp-1140366,16,3657,1.7564168070250297,16
AlInCl4,4791,mp-638061,mp-1140058,24,4392,1.7360875553957524,24
AlInS3,2513,mp-504482,mp-1118134,30,528,2.326079820929052,30
AlInSe3,2516,mp-862787,mp-1118022,30,851,2.634722502782157,30
AlN,631,mp-661,mp-1119627,4,2769,2.4566915421627082,4
AlN,795,mp-1700,mp-1114747,8,3269,2.1489383425310256,2
AlP,640,mp-8880,mp-1119906,4,4157,2.8641860973058355,4
AlP,793,mp-1550,mp-1114765,8,1431,2.8523700671546828,2
AlPO4,2477,mp-3955,mp-1140982,18,287,1.5054302817910026,18
AlPO4,2477,mp-3955,mp-1140982,18,1329,1.5717294084330677,18
AlPO4,3390,mp-560151,mp-1116494,18,287,1.5054302817910026,18
AlPO4,3390,mp-560151,mp-1116494,18,1329,1.5717294084330677,18
AlPO4,3362,mp-4051,mp-1115058,24,1801,1.5142383123757854,12
AlPO4,3394,mp-5859,mp-1117693,72,1019,1.3566852988073503,72
AlPO4,3433,mp-545974,mp-1114744,12,1081,1.4188558771066218,12
AlPO4,3961,mp-37990,mp-1117714,120,1777,1.3355908804720116,30
AlPO4,4026,mp-5724,mp-1119539,12,307,1.4575808725418977,12
AlPO4,5130,mp-7848,mp-1140095,6,2450,1.4615943349643907,6
AlPS4,2882,mp-27462,mp-1114976,12,467,1.7818750423827892,12
AlSCl3O2,6459,mp-556418,mp-1140527,14,2956,1.540562667772179,14
AlSb,353,mp-1018100,mp-1115486,4,415,3.394573161955062,4
AlSb,812,mp-2624,mp-1114982,8,2375,3.465530262456239,2
AlTlF4,1979,mp-5606,mp-1141461,6,535,1.6448124513147389,6
AlTlSe2,2345,mp-9579,mp-1141116,8,46,2.878486292017612,8
As2Ir,209,mp-15649,mp-1142150,12,3163,4.621435563400907,12
As2O3,210,mp-1581,mp-1141091,20,3724,1.846618531261939,20
As2O3,211,mp-1582,mp-1142264,20,3725,1.8751888793754439,20
As2O3,934,mp-2184,mp-1140177,20,4586,1.6734196524884615,20
As2Os,556,mp-2455,mp-1140349,6,3366,4.570010940905941,6
As2PbO6,2992,mp-20015,mp-1140167,9,1033,2.1273701292127396,9
As2Rh,213,mp-15954,mp-1140052,12,3733,5.543284225078126,12
As2Ru,560,mp-766,mp-1141798,6,55,4.852215988597375,6
As2S3,249,mp-641,mp-1140231,20,441,2.3507873149223855,20
As2Se3,381,mp-909,mp-1140433,20,328,2.842358175881428,20
As3(HO2)5,3185,mp-27404,mp-1140466,18,1311,1.7291616465790585,18
As3HO6,2274,mp-626378,mp-1141669,40,3056,1.822361105818493,40
As4S5,60,mp-502,mp-1140934,18,1024,2.108316864230802,18
AsCl3,666,mp-23280,mp-1141074,16,2179,1.5714164523342202,16
AsCl5,565,mp-30106,mp-1140865,12,1174,1.5938423175877008,12
AsF3,957,mp-28027,mp-1140278,16,3794,1.479076288318715,16
AsF5,723,mp-8723,mp-1141364,12,208,1.347837774610385,12
AsH6NO4,5710,mp-703470,mp-1140771,24,1901,1.6,24
AsH6NO4,6402,mp-707339,mp-1118010,48,741,1.5323355811744808,48
AsI3,409,mp-23218,mp-1141678,8,1037,2.4040244036453635,8
AsN(OF3)2,5675,mp-611316,mp-1140215,10,1870,1.4211497692858746,10
AsPO5,3495,mp-14367,mp-1115816,28,2316,1.8482066082196187,28
AsPbClO2,6390,mp-560394,mp-1117933,40,4416,2.1108195091006716,40
AsS,437,mp-542846,mp-1142205,16,1703,2.099047402988793,16
AsS2NF6,5696,mp-8500,mp-1141136,10,708,1.5620499351777215,10
Au(OF3)2,3236,mp-990238,mp-1142070,9,4706,2.976079524027094,9
Au2O3,516,mp-27253,mp-1140341,10,39,3.0468834897317616,10
Au2S,845,mp-947,mp-1141414,6,510,2.6387197653407615,6
AuBr,184,mp-505366,mp-1141608,8,1408,2.192335132531825,8
AuBrF6,4020,mp-30159,mp-1116989,16,1854,1.6489747319673116,16
AuCl,396,mp-32780,mp-1142133,8,4257,2.137599900184689,8
AuI,183,mp-27725,mp-1141420,8,290,2.1611725212640165,8
AuSe,116,mp-2793,mp-1140480,4,3548,3.280294702207918,4
B(HO)3,2019,mp-759069,mp-1117668,42,377,1.4492012742657088,42
B2AsP,1202,mp-1008528,mp-1115410,4,2290,3.0917826573030647,4
B2O3,452,mp-306,mp-1140625,15,1623,1.6502434163884208,15
B2O3,983,mp-717,mp-1119672,20,2592,1.747608079633417,20
B2PdO4,1948,mp-540900,mp-1118339,84,1155,2.1753906928794806,42
B2S2O9,4105,mp-1019509,mp-1115522,13,800,1.605534905672665,13
B2Se2O7,3034,mp-558521,mp-1117833,44,2565,1.7935177724237918,44
B3H5,972,mp-29721,mp-1117897,64,3088,1.5531524930497542,32
B4PbO7,4419,mp-9747,mp-1117572,24,1258,1.9688114858123584,24
B6As,297,mp-624,mp-1140307,14,460,2.770198548849521,14
B6O,273,mp-1346,mp-1142274,14,3479,2.3984022459356575,14
B6P,287,mp-28395,mp-1140494,14,4010,2.743659356890737,14
BAs,646,mp-984718,mp-1116810,4,4168,3.1305475027008707,4
BAs,779,mp-10044,mp-1114817,8,4159,3.139232868074619,2
BAsO4,2463,mp-11654,mp-1115699,18,3270,1.820717807166549,18
BAsO4,5098,mp-3277,mp-1141340,6,92,1.7483560850124324,6
BBr,48,mp-685043,mp-1141654,36,3024,1.8084062965311012,36
BBr3,322,mp-23225,mp-1140954,8,1041,1.4903019828209472,8
BCl(OF2)2,7009,mp-557856,mp-1140703,16,2405,1.5517731793028926,16
BCl(OF2)2,7022,mp-754459,mp-1140814,16,2529,1.5443445211480502,16
BCl3,320,mp-23184,mp-1141562,8,4161,1.4252485163413922,8
BClF6,1563,mp-23398,mp-1141260,32,1131,1.4385177556545254,32
BF3,243,mp-558149,mp-1141137,32,2451,1.2747548783981961,32
BH2OF3,5824,mp-707009,mp-1140647,28,1979,1.3290347374441847,28
BH3OF4,6478,mp-696379,mp-1141301,18,3048,1.353021310499826,18
BH4NF4,6646,mp-720391,mp-1140455,40,905,1.3661381091724707,40
BH4O2F3,5821,mp-696656,mp-1141355,40,4397,1.3935566009315876,40
BH6N,1402,mp-675418,mp-1117677,24,1209,1.5127701962514553,24
BH6N,4383,mp-35082,mp-1117032,16,1401,1.5171266701674362,16
BI3,321,mp-23189,mp-1140875,8,1023,1.6647322106973774,8
BN,350,mp-604884,mp-1114819,4,3320,1.9618544798226027,4
BN,365,mp-2653,mp-1114983,4,3281,2.150479791426398,4
BN,477,mp-13150,mp-1141721,2,3913,1.927802894488975,2
BN,510,mp-685145,mp-1119655,8,1234,2.109719333623946,2
BN,719,mp-7991,mp-1140780,4,3319,1.8604658914727068,4
BN,724,mp-984,mp-1142083,4,4601,1.8909612194154957,4
BN,794,mp-1639,mp-1115346,8,2571,2.146197101852483,2
BN(OF2)2,5803,mp-555207,mp-1141061,32,4422,1.3957077057894323,32
BNF8,1174,mp-4674,mp-1142065,40,4281,1.3695498043761192,40
BP,351,mp-1008559,mp-1116671,4,4154,3.025809147980086,4
BP,791,mp-1479,mp-1141282,2,3864,3.031743392835216,2
BPO4,2462,mp-11653,mp-1117390,18,4577,1.6632627573537524,18
BPO4,5105,mp-3589,mp-1141172,6,3922,1.6082787900941387,6
BPPbO5,5949,mp-21266,mp-1117559,24,262,1.89708820740278,24
BPS4,3628,mp-27724,mp-1140580,6,4311,1.8067505823069954,6
BSF7,4586,mp-27349,mp-1141207,36,1255,1.3953494186045299,36
Ba(AgS)2,2793,mp-8579,mp-1142003,5,504,2.7395852484150387,5
Ba(AlTe2)2,5411,mp-38394,mp-1114831,14,1780,2.6117797510460186,7
Ba(As3Pt2)2,2196,mp-14501,mp-1140968,22,3615,5.016007708659825,22
Ba(AuF4)2,5092,mp-28719,mp-1117408,44,1500,1.615600404390475,22
Ba(BO2)2,2568,mp-540659,mp-1140990,42,2344,1.6426604437055439,42
Ba(BS2)2,5203,mp-30126,mp-1116880,28,1044,2.1721831567956387,14
Ba(BeN)2,2313,mp-12927,mp-1140787,10,3671,2.372994943104597,10
Ba(BrO3)2,4076,mp-28514,mp-1117160,72,790,1.690463052933525,18
Ba(CdAs)2,2790,mp-8281,mp-1140059,5,3340,9.88090459758957,5
Ba(CdP)2,2788,mp-8279,mp-1140775,5,3348,3.5981476716036367,5
Ba(CuO)2,2003,mp-7374,mp-1140666,10,173,2.4331128895580143,10
Ba(CuS)2,1715,mp-4255,mp-1140649,5,3784,3.2567044692449523,5
Ba(CuSe)2,4759,mp-4473,mp-1141279,20,3859,3.36204302966713,20
Ba(CuTe)2,4611,mp-30133,mp-1142063,20,1186,3.5233979811161458,20
Ba(FeO2)2,4161,mp-19154,mp-1115956,28,2205,2.020501835353452,28
Ba(GaTe2)2,5410,mp-38117,mp-1141277,7,2932,2.9487870387669575,7
Ba(GeAs)2,1453,mp-27810,mp-1117238,20,4357,3.8295279082414324,20
Ba(GeP)2,1452,mp-27809,mp-1141043,20,1536,3.575844888507703,20
Ba(InTe2)2,5408,mp-33985,mp-1141808,7,1433,2.9142582818503464,7
Ba(MgAs)2,2789,mp-8280,mp-1142230,5,3355,3.0764397171622484,5
Ba(MgBi)2,2620,mp-29209,mp-1140660,5,1501,4.133848811942693,5
Ba(MgP)2,2787,mp-8278,mp-1142203,5,122,2.9011306991125627,5
Ba(MgSb)2,2805,mp-9567,mp-1140759,5,4731,3.264920928087952,5
Ba(NO2)2,3009,mp-27897,mp-1116139,28,396,1.6264896761635674,28
Ba(NbN2)2,3127,mp-1029502,mp-1119172,84,3213,2.791132386684659,84
Ba(NdS2)2,1914,mp-34459,mp-1117195,28,4293,2.748638268913051,14
Ba(NdSe2)2,1922,mp-36007,mp-1116938,28,1345,2.976920836479645,14
Ba(PO3)2,3007,mp-27457,mp-1117716,36,4532,1.6489882756809804,36
Ba(PrSe2)2,1908,mp-33606,mp-1116904,28,1000,2.9700853523089195,14
Ba(ReN2)2,3131,mp-1029619,mp-1119178,84,2567,9.538562103378057,84
Ba(SbO3)2,2512,mp-9127,mp-1141067,9,178,1.8561662102301122,9
Ba(Si3N4)2,4088,mp-567771,mp-1118722,30,1913,2.179594687092075,15
Ba(TaN2)2,3130,mp-1029616,mp-1119170,84,2025,2.556293410389348,84
Ba(VN2)2,3132,mp-1029918,mp-1118934,84,2362,3.0520186762207078,84
Ba(ZnAs)2,4797,mp-7427,mp-1141911,20,295,4.192254763250917,20
Ba12Cl5F19,3482,mp-560641,mp-1117670,36,3010,1.6337847675464074,36
Ba16Nb5N19,3198,mp-30001,mp-1118644,80,3469,2.6015245530265516,80
Ba2AsAu,3577,mp-861937,mp-1142209,4,4240,4.486019505084658,4
Ba2BiAu,3581,mp-862947,mp-1140815,4,4632,4.713770571421568,4
Ba2CaI6,2503,mp-753345,mp-1116925,18,289,1.8766975426708128,9
Ba2CaSi4(BO7)2,7094,mp-1019518,mp-1115523,46,1570,1.6674758369063902,46
Ba2CuGe2O7,5334,mp-22067,mp-1118418,24,275,2.1871217768260336,24
Ba2Ge2Te5,4441,mp-17885,mp-1118335,36,2899,3.349764021539428,36
Ba2H6Os,3572,mp-697044,mp-1140327,9,1946,2.105445558545743,9
Ba2H6Ru,3571,mp-697038,mp-1141038,9,889,2.1047372757662663,9
Ba2HfO4,1741,mp-754363,mp-1141912,7,2178,2.0995258194808413,7
Ba2HfS4,1517,mp-9321,mp-1141119,7,131,2.596806821206896,7
Ba2In2O5,2411,mp-752827,mp-1117438,36,1369,2.2392489068137706,18
Ba2In2O5,4097,mp-20546,mp-1117125,36,3797,2.1567106126382987,18
Ba2MgO3,2427,mp-779511,mp-1117945,24,1435,2.003748035777196,24
Ba2MgSi2O7,5350,mp-9338,mp-1117555,24,3514,1.7152073732739528,24
Ba2Na2O3,5404,mp-752395,mp-1118259,28,875,1.977800377523812,28
Ba2NaNb5O15,5264,mp-15983,mp-1115843,46,1867,2.3502024735470486,46
Ba2NbN3,2201,mp-17024,mp-1118568,48,2141,2.5579743287739745,24
Ba2PCl,2629,mp-27869,mp-1141518,4,1576,2.3332276642739673,4
Ba2PbO4,1694,mp-20098,mp-1141583,7,1087,2.2782106282489907,7
Ba2PrF7,1407,mp-676002,mp-1119640,10,756,1.5608172004861218,10
Ba2Sb2O5,4804,mp-765493,mp-1118207,36,2358,1.9963722097845382,36
Ba2SbAu,3580,mp-862631,mp-1142215,4,219,4.3378687163168035,4
Ba2Si5N8,4418,mp-9711,mp-1118822,30,4407,2.228562615977692,30
Ba2SnHg,3622,mp-867912,mp-1116534,16,3053,8.96991856150323,4
Ba2SnO4,1712,mp-3359,mp-1141866,7,3952,2.0856085442862917,7
Ba2SrI6,1651,mp-752397,mp-1117289,18,1608,1.793234228984044,18
Ba2SrI6,2285,mp-756202,mp-1117231,18,3400,1.9563618445130917,18
Ba2SrI6,3484,mp-760418,mp-1119740,9,947,2.1066830959274974,9
Ba2TaN3,2203,mp-17400,mp-1118605,48,3742,2.4973437221709522,24
Ba2Ti(GeO4)2,5268,mp-6289,mp-1117867,26,4571,1.8578130512334479,52
Ba2TiOF6,7012,mp-561256,mp-1117334,40,378,1.6779550053562222,20
Ba2VN3,4832,mp-17696,mp-1118875,48,446,2.6705722857345267,24
Ba2WO3F4,7005,mp-19234,mp-1117383,40,598,1.74683981330096,20
Ba2YCr3O7,6800,mp-1048325,mp-1117229,13,4658,2.4300441011159153,13
Ba2ZnGe2S6O,7088,mp-17244,mp-1115892,24,4059,2.1759969362723526,24
Ba2ZnN2,1516,mp-9307,mp-1141216,5,1654,2.6801008644976996,5
Ba2ZrS4,1714,mp-3813,mp-1140156,7,485,2.6771101957147794,7
Ba3(AlN2)2,4282,mp-17133,mp-1118604,36,3253,2.587110614823675,36
Ba3(BN2)2,3025,mp-30905,mp-1118102,36,824,2.126598300886496,36
Ba3As14,239,mp-524,mp-1141604,34,765,3.256634254359348,34
Ba3BiN,3267,mp-567666,mp-1140405,10,3100,3.5739334073258906,10
Ba3GaN3,2748,mp-1029573,mp-1119145,14,2056,2.8935168336587687,14
Ba3GeO5,1870,mp-778602,mp-1118036,36,766,1.9634995968083786,36
Ba3MoN4,4514,mp-8863,mp-1118810,64,624,2.4005983281951466,64
Ba3NbGa3(SiO7)2,7124,mp-12881,mp-1115755,23,879,1.8991429646027216,23
Ba3P4,513,mp-14289,mp-1141028,14,3594,3.1231394461340254,14
Ba3SbN,3102,mp-12814,mp-1141503,10,2731,3.3376638536557315,10
Ba3Si6N4O9,5826,mp-554885,mp-1117416,22,2029,1.8093495147888567,22
Ba3Ti3(BO6)2,6234,mp-11772,mp-1115713,20,2134,2.2523335306595573,20
Ba3WN4,4502,mp-14743,mp-1118548,64,788,2.3458944278604412,64
Ba3WO6,1418,mp-697853,mp-1118230,20,789,2.046925662222902,20
Ba3ZnB5PO14,7306,mp-1019525,mp-1115524,48,3206,1.7258846040992042,48
Ba4As2O,1506,mp-8300,mp-1141962,7,170,3.0586418554646158,7
Ba4Br6O,3435,mp-555218,mp-1117415,22,1099,1.8484147261910677,22
Ba4Cl6O,3415,mp-23063,mp-1116094,22,390,1.7502413166951216,22
Ba4LiCu(CO5)2,7095,mp-15472,mp-1117124,36,1592,1.9898938832678155,18
Ba4LiNb3O12,6201,mp-18274,mp-1118094,40,3897,2.2451711144884543,40
Ba4NaCu(CO5)2,7097,mp-6841,mp-1117127,36,978,1.9326168787423956,18
Ba4SiAs4,3777,mp-14001,mp-1118334,72,3255,3.153000158579126,72
Ba5(Ga3H)2,2879,mp-643683,mp-1118361,26,1633,4.226701353695734,26
Ba5(SiN3)2,3018,mp-29060,mp-1116163,52,2836,2.589092183243643,52
Ba5(TiN3)2,3192,mp-28926,mp-1118617,26,2022,2.707734415829342,26
Ba5CrN5,1021,mp-29082,mp-1118641,44,742,3.848759323903397,22
