material_id,formula,atom_index,element,component,ref,pred,residual,abs_residual
mp-3998,La4O16Ta4,2,La,yy,12.73366,3.02827644,-9.705383560000001,9.705383560000001
mp-560088,Cs4F10Li6,2,Cs,zz,11.01629,1.40633559,-9.60995441,9.60995441
mp-560088,Cs4F10Li6,0,Cs,zz,11.01629,1.4063375,-9.6099525,9.6099525
mp-768223,Ce4Cs8O12,0,Cs,xx,11.01596,1.50412238,-9.51183762,9.51183762
mp-768223,Ce4Cs8O12,4,Cs,xx,11.01596,1.50412261,-9.51183739,9.51183739
mp-768223,Ce4Cs8O12,3,Cs,xx,11.01596,1.50412297,-9.511837029999999,9.511837029999999
mp-768223,Ce4Cs8O12,7,Cs,xx,11.01596,1.50412393,-9.51183607,9.51183607
mp-768223,Ce4Cs8O12,1,Cs,xx,11.01057,1.50412631,-9.50644369,9.50644369
mp-768223,Ce4Cs8O12,2,Cs,xx,11.01057,1.5041275,-9.506442499999999,9.506442499999999
mp-768223,Ce4Cs8O12,5,Cs,xx,11.01057,1.50412858,-9.50644142,9.50644142
mp-768223,Ce4Cs8O12,6,Cs,xx,11.01057,1.50413013,-9.50643987,9.50643987
mp-571636,Cl4In4,6,Cl,yy,7.96325,-1.52161407,-9.48486407,9.48486407
mp-571636,Cl4In4,4,Cl,yy,7.96325,-1.52161288,-9.48486288,9.48486288
mp-768223,Ce4Cs8O12,7,Cs,yy,11.01371,1.52930808,-9.48440192,9.48440192
mp-768223,Ce4Cs8O12,6,Cs,yy,11.01371,1.52930927,-9.484400729999999,9.484400729999999
mp-768223,Ce4Cs8O12,2,Cs,yy,11.01371,1.52930987,-9.48440013,9.48440013
mp-768223,Ce4Cs8O12,3,Cs,yy,11.01371,1.52931666,-9.48439334,9.48439334
mp-768223,Ce4Cs8O12,0,Cs,yy,11.01282,1.52930439,-9.48351561,9.48351561
mp-768223,Ce4Cs8O12,1,Cs,yy,11.01282,1.52930927,-9.483510729999999,9.483510729999999
mp-768223,Ce4Cs8O12,4,Cs,yy,11.01282,1.52930963,-9.48351037,9.48351037
mp-768223,Ce4Cs8O12,5,Cs,yy,11.01282,1.52931273,-9.48350727,9.48350727
mp-571636,Cl4In4,5,Cl,yy,7.94248,-1.52161479,-9.46409479,9.46409479
mp-571636,Cl4In4,7,Cl,yy,7.94248,-1.52161431,-9.46409431,9.46409431
mp-560088,Cs4F10Li6,1,Cs,zz,11.01738,1.6063447,-9.4110353,9.4110353
mp-560088,Cs4F10Li6,3,Cs,zz,11.01738,1.60636032,-9.411019679999999,9.411019679999999
mp-1030245,Ca54N72Re18,88,N,xx,7.43346,-1.89915621,-9.33261621,9.33261621
mp-1030245,Ca54N72Re18,85,N,xx,7.43346,-1.89915419,-9.332614190000001,9.332614190000001
mp-753679,Nb2O8V2,5,O,yy,5.42127,-3.89106035,-9.31233035,9.31233035
mp-753679,Nb2O8V2,9,O,yy,5.42127,-3.89105678,-9.31232678,9.31232678
mp-34328,Cl8Cu4Mn2,12,Cl,zz,7.94927,-1.35779738,-9.30706738,9.30706738
mp-34328,Cl8Cu4Mn2,8,Cl,zz,7.94927,-1.35779727,-9.307067270000001,9.307067270000001
mp-753679,Nb2O8V2,10,O,yy,5.31166,-3.89106083,-9.20272083,9.20272083
mp-753679,Nb2O8V2,6,O,yy,5.31166,-3.89105749,-9.20271749,9.20271749
mp-541844,Ge20Ir16,22,Ir,zz,-6.25471,2.82951474,9.08422474,9.08422474
mp-541844,Ge20Ir16,23,Ir,zz,-6.25471,2.82950401,9.08421401,9.08421401
mp-20337,O6Pb2Zr2,5,O,xx,5.39306,-3.5350194,-8.9280794,8.9280794
mp-20337,O6Pb2Zr2,8,O,xx,5.39306,-3.53501868,-8.92807868,8.92807868
mp-34328,Cl8Cu4Mn2,13,Cl,yy,7.94563,-0.96859765,-8.91422765,8.91422765
mp-34328,Cl8Cu4Mn2,9,Cl,yy,7.94563,-0.9685967,-8.9142267,8.9142267
mp-34328,Cl8Cu4Mn2,7,Cl,yy,7.94423,-0.96902061,-8.91325061,8.91325061
mp-34328,Cl8Cu4Mn2,11,Cl,yy,7.94423,-0.96901858,-8.91324858,8.91324858
mp-34328,Cl8Cu4Mn2,6,Cl,yy,7.9411,-0.96859747,-8.90969747,8.90969747
mp-34328,Cl8Cu4Mn2,10,Cl,yy,7.9411,-0.96859741,-8.90969741,8.90969741
mp-20337,O6Pb2Zr2,7,O,xx,5.36307,-3.53502083,-8.89809083,8.89809083
mp-20337,O6Pb2Zr2,4,O,xx,5.36307,-3.5350194,-8.8980894,8.8980894
mp-768230,O16Sm4Ta4,14,O,yy,5.36237,-3.48819113,-8.85056113,8.85056113
mp-768230,O16Sm4Ta4,22,O,yy,5.36237,-3.48818398,-8.85055398,8.85055398
mp-29889,Cl4PdTl2,3,Cl,yy,7.96453,-0.88277614,-8.84730614,8.84730614
mp-29889,Cl4PdTl2,6,Cl,yy,7.96424,-0.88277143,-8.84701143,8.84701143
mp-768230,O16Sm4Ta4,9,O,yy,5.35561,-3.48818564,-8.84379564,8.84379564
mp-768230,O16Sm4Ta4,17,O,yy,5.35561,-3.48817444,-8.84378444,8.84378444
mp-29889,Cl4PdTl2,4,Cl,zz,7.94997,-0.88277704,-8.832747040000001,8.832747040000001
mp-29889,Cl4PdTl2,3,Cl,zz,7.94997,-0.8827768,-8.8327468,8.8327468
mp-29889,Cl4PdTl2,6,Cl,zz,7.94993,-0.88277936,-8.83270936,8.83270936
mp-29889,Cl4PdTl2,5,Cl,zz,7.94993,-0.8827728,-8.8327028,8.8327028
mp-29889,Cl4PdTl2,5,Cl,yy,7.93566,-0.88277072,-8.81843072,8.81843072
mp-29889,Cl4PdTl2,4,Cl,yy,7.93537,-0.88277483,-8.81814483,8.81814483
mp-3998,La4O16Ta4,12,O,yy,5.36834,-3.42823696,-8.79657696,8.79657696
mp-3998,La4O16Ta4,20,O,yy,5.36834,-3.4282341,-8.7965741,8.7965741
mp-3998,La4O16Ta4,13,O,yy,5.36095,-3.42824078,-8.78919078,8.78919078
mp-3998,La4O16Ta4,21,O,yy,5.36095,-3.42823553,-8.78918553,8.78918553
mp-34328,Cl8Cu4Mn2,10,Cl,zz,7.94336,-0.84461927,-8.787979270000001,8.787979270000001
mp-34328,Cl8Cu4Mn2,13,Cl,zz,7.94336,-0.84461719,-8.78797719,8.78797719
mp-34328,Cl8Cu4Mn2,6,Cl,zz,7.94336,-0.84461588,-8.78797588,8.78797588
mp-34328,Cl8Cu4Mn2,9,Cl,zz,7.94336,-0.84461439,-8.78797439,8.78797439
mp-9900,Ag8Ge4S12,22,S,yy,6.83705,-1.93693686,-8.773986859999999,8.773986859999999
mp-9900,Ag8Ge4S12,16,S,yy,6.83705,-1.9369359,-8.7739859,8.7739859
mp-9900,Ag8Ge4S12,20,S,yy,6.83705,-1.93693566,-8.77398566,8.77398566
mp-9900,Ag8Ge4S12,14,S,yy,6.83705,-1.93693471,-8.77398471,8.77398471
mp-9900,Ag8Ge4S12,15,S,yy,6.8091,-1.93693829,-8.74603829,8.74603829
mp-9900,Ag8Ge4S12,17,S,yy,6.8091,-1.93693602,-8.74603602,8.74603602
mp-9900,Ag8Ge4S12,21,S,yy,6.8091,-1.9369359,-8.746035899999999,8.746035899999999
mp-9900,Ag8Ge4S12,23,S,yy,6.8091,-1.93693328,-8.74603328,8.74603328
mp-9900,Ag8Ge4S12,13,S,xx,6.85136,-1.89213991,-8.74349991,8.74349991
mp-9900,Ag8Ge4S12,19,S,xx,6.85136,-1.89212489,-8.74348489,8.74348489
mp-9900,Ag8Ge4S12,18,S,xx,6.80217,-1.89214492,-8.69431492,8.69431492
mp-9900,Ag8Ge4S12,12,S,xx,6.80217,-1.8921423,-8.6943123,8.6943123
mp-29889,Cl4PdTl2,6,Cl,xx,7.94995,-0.73602164,-8.68597164,8.68597164
mp-29889,Cl4PdTl2,3,Cl,xx,7.94995,-0.7360208,-8.6859708,8.6859708
mp-29889,Cl4PdTl2,4,Cl,xx,7.94995,-0.73602009,-8.68597009,8.68597009
mp-29889,Cl4PdTl2,5,Cl,xx,7.94995,-0.7360189,-8.6859689,8.6859689
mp-756156,O12Rb8Zr4,15,O,xx,5.38657,-3.26340652,-8.64997652,8.64997652
mp-756156,O12Rb8Zr4,21,O,xx,5.38657,-3.26340532,-8.64997532,8.64997532
mp-756156,O12Rb8Zr4,20,O,xx,5.38507,-3.26340604,-8.64847604,8.64847604
mp-756156,O12Rb8Zr4,14,O,xx,5.38507,-3.2634027,-8.6484727,8.6484727
mp-4009,Ba2Pd2S4,5,S,xx,6.81932,-1.7885493,-8.6078693,8.6078693
mp-4009,Ba2Pd2S4,7,S,xx,6.81932,-1.78854918,-8.60786918,8.60786918
mp-4009,Ba2Pd2S4,4,S,xx,6.81932,-1.78853929,-8.60785929,8.60785929
mp-4009,Ba2Pd2S4,6,S,xx,6.81932,-1.78853846,-8.607858460000001,8.607858460000001
mp-3998,La4O16Ta4,18,O,yy,5.36599,-3.21271229,-8.578702289999999,8.578702289999999
mp-3998,La4O16Ta4,10,O,yy,5.36599,-3.2127111,-8.5787011,8.5787011
mp-3998,La4O16Ta4,11,O,yy,5.36138,-3.21271133,-8.57409133,8.57409133
mp-3998,La4O16Ta4,19,O,yy,5.36138,-3.21270967,-8.57408967,8.57408967
mp-1118943,Cs24N40Re16,34,Re,xx,-3.78021,4.7596817,8.5398917,8.5398917
mp-1118943,Cs24N40Re16,26,Re,xx,-3.78021,4.75965977,8.53986977,8.53986977
mp-1118943,Cs24N40Re16,24,Re,yy,-3.7791,4.75968647,8.53878647,8.53878647
mp-1118943,Cs24N40Re16,32,Re,yy,-3.7791,4.75967503,8.53877503,8.53877503
mp-768176,O16Ta4Tm4,22,O,yy,5.35653,-3.17331696,-8.52984696,8.52984696
mp-768176,O16Ta4Tm4,14,O,yy,5.35653,-3.17331386,-8.52984386,8.52984386
mp-768176,O16Ta4Tm4,17,O,yy,5.35041,-3.17331553,-8.52372553,8.52372553
mp-768176,O16Ta4Tm4,9,O,yy,5.35041,-3.17331481,-8.523724810000001,8.523724810000001
mp-1118943,Cs24N40Re16,33,Re,yy,-3.74653,4.75969791,8.50622791,8.50622791
mp-1118943,Cs24N40Re16,25,Re,yy,-3.74653,4.75967741,8.50620741,8.50620741
mp-1118943,Cs24N40Re16,35,Re,xx,-3.74521,4.75968218,8.50489218,8.50489218
mp-1118943,Cs24N40Re16,27,Re,xx,-3.74521,4.7596755,8.5048855,8.5048855
mp-1029965,K30N38Os14,31,Os,zz,-4.28378,4.21102858,8.49480858,8.49480858
mp-768223,Ce4Cs8O12,20,O,xx,5.39511,-3.09101105,-8.48612105,8.48612105
mp-768223,Ce4Cs8O12,14,O,xx,5.39511,-3.09101057,-8.48612057,8.48612057
mp-768223,Ce4Cs8O12,15,O,xx,5.39216,-3.091012,-8.483172,8.483172
mp-768223,Ce4Cs8O12,21,O,xx,5.39216,-3.09100842,-8.48316842,8.48316842
mp-768176,O16Ta4Tm4,18,O,yy,5.37078,-3.07677484,-8.44755484,8.44755484
mp-768176,O16Ta4Tm4,10,O,yy,5.37078,-3.0767746,-8.4475546,8.4475546
mp-768176,O16Ta4Tm4,21,O,yy,5.36485,-3.07677555,-8.44162555,8.44162555
mp-768176,O16Ta4Tm4,13,O,yy,5.36485,-3.07677126,-8.44162126,8.44162126
mp-19885,Ga4In4S12,19,S,yy,6.8282,-1.57849157,-8.40669157,8.40669157
mp-19885,Ga4In4S12,13,S,yy,6.8282,-1.57848525,-8.406685249999999,8.406685249999999
mp-19885,Ga4In4S12,18,S,yy,6.82819,-1.57848024,-8.40667024,8.40667024
mp-19885,Ga4In4S12,12,S,yy,6.82819,-1.57847476,-8.40666476,8.40666476
mp-1029965,K30N38Os14,59,N,zz,4.47855,-3.91516733,-8.393717330000001,8.393717330000001
mp-1029965,K30N38Os14,30,Os,zz,-4.18048,4.21103525,8.391515250000001,8.391515250000001
mp-28452,Fe48N16W48,28,Fe,xx,-10.07048,-1.68648291,8.38399709,8.38399709
mp-28452,Fe48N16W48,5,Fe,xx,-10.07048,-1.68648672,8.38399328,8.38399328
mp-28452,Fe48N16W48,17,Fe,xx,-10.07048,-1.68648839,8.383991609999999,8.383991609999999
mp-28452,Fe48N16W48,29,Fe,xx,-10.07048,-1.68648899,8.383991009999999,8.383991009999999
mp-28452,Fe48N16W48,6,Fe,xx,-10.07048,-1.68649065,8.38398935,8.38398935
mp-28452,Fe48N16W48,42,Fe,xx,-10.07048,-1.6864934,8.3839866,8.3839866
mp-28452,Fe48N16W48,34,Fe,xx,-10.07048,-1.68649614,8.38398386,8.38398386
mp-28452,Fe48N16W48,40,Fe,xx,-10.07048,-1.68649876,8.38398124,8.38398124
mp-28452,Fe48N16W48,18,Fe,xx,-10.07048,-1.68650115,8.38397885,8.38397885
mp-28452,Fe48N16W48,46,Fe,xx,-10.07048,-1.68650186,8.38397814,8.38397814
mp-28452,Fe48N16W48,30,Fe,xx,-10.07048,-1.68650293,8.38397707,8.38397707
mp-28452,Fe48N16W48,10,Fe,xx,-10.07048,-1.68650579,8.38397421,8.38397421
mp-28452,Fe48N16W48,22,Fe,xx,-10.07048,-1.68650746,8.38397254,8.38397254
mp-28452,Fe48N16W48,4,Fe,xx,-10.07048,-1.68650746,8.38397254,8.38397254
mp-28452,Fe48N16W48,16,Fe,xx,-10.07048,-1.68650854,8.38397146,8.38397146
mp-28452,Fe48N16W48,41,Fe,xx,-10.07048,-1.68651164,8.38396836,8.38396836
mp-28452,Fe48N16W48,35,Fe,yy,-10.06655,-1.6864866,8.3800634,8.3800634
mp-28452,Fe48N16W48,17,Fe,yy,-10.06655,-1.6864872,8.3800628,8.3800628
mp-28452,Fe48N16W48,34,Fe,yy,-10.06655,-1.68648958,8.38006042,8.38006042
mp-28452,Fe48N16W48,8,Fe,yy,-10.06655,-1.68648982,8.38006018,8.38006018
mp-28452,Fe48N16W48,29,Fe,yy,-10.06655,-1.68649292,8.38005708,8.38005708
mp-28452,Fe48N16W48,10,Fe,yy,-10.06655,-1.68649459,8.380055409999999,8.380055409999999
mp-28452,Fe48N16W48,5,Fe,yy,-10.06655,-1.68649578,8.38005422,8.38005422
mp-28452,Fe48N16W48,32,Fe,yy,-10.06655,-1.68649662,8.38005338,8.38005338
mp-28452,Fe48N16W48,11,Fe,yy,-10.06655,-1.68649673,8.38005327,8.38005327
mp-28452,Fe48N16W48,44,Fe,yy,-10.06655,-1.68650055,8.38004945,8.38004945
mp-28452,Fe48N16W48,46,Fe,yy,-10.06655,-1.68650305,8.380046949999999,8.380046949999999
mp-28452,Fe48N16W48,47,Fe,yy,-10.06655,-1.68650448,8.38004552,8.38004552
mp-28452,Fe48N16W48,23,Fe,yy,-10.06655,-1.68650579,8.38004421,8.38004421
mp-28452,Fe48N16W48,22,Fe,yy,-10.06655,-1.68650866,8.38004134,8.38004134
mp-28452,Fe48N16W48,20,Fe,yy,-10.06655,-1.68651295,8.380037049999999,8.380037049999999
mp-28452,Fe48N16W48,41,Fe,yy,-10.06655,-1.68651712,8.38003288,8.38003288
mp-28452,Fe48N16W48,17,Fe,zz,-10.06504,-1.68648267,8.37855733,8.37855733
mp-28452,Fe48N16W48,35,Fe,zz,-10.06504,-1.6864866,8.3785534,8.3785534
mp-28452,Fe48N16W48,28,Fe,zz,-10.06504,-1.6864903,8.3785497,8.3785497
mp-28452,Fe48N16W48,29,Fe,zz,-10.06504,-1.68649065,8.37854935,8.37854935
mp-28452,Fe48N16W48,5,Fe,zz,-10.06504,-1.68649197,8.37854803,8.37854803
mp-28452,Fe48N16W48,31,Fe,zz,-10.06504,-1.6864953,8.378544699999999,8.378544699999999
mp-28452,Fe48N16W48,11,Fe,zz,-10.06504,-1.68649745,8.378542549999999,8.378542549999999
mp-28452,Fe48N16W48,19,Fe,zz,-10.06504,-1.68649924,8.37854076,8.37854076
mp-28452,Fe48N16W48,43,Fe,zz,-10.06504,-1.68649936,8.37854064,8.37854064
mp-28452,Fe48N16W48,16,Fe,zz,-10.06504,-1.68650198,8.37853802,8.37853802
mp-28452,Fe48N16W48,23,Fe,zz,-10.06504,-1.68650329,8.378536709999999,8.378536709999999
mp-28452,Fe48N16W48,40,Fe,zz,-10.06504,-1.68650544,8.37853456,8.37853456
mp-28452,Fe48N16W48,4,Fe,zz,-10.06504,-1.68650699,8.37853301,8.37853301
mp-28452,Fe48N16W48,7,Fe,zz,-10.06504,-1.68650723,8.37853277,8.37853277
mp-28452,Fe48N16W48,41,Fe,zz,-10.06504,-1.68651509,8.37852491,8.37852491
mp-28452,Fe48N16W48,47,Fe,zz,-10.06504,-1.68651879,8.378521209999999,8.378521209999999
mp-1029965,K30N38Os14,58,N,zz,4.4448,-3.91518021,-8.35998021,8.35998021
mp-34328,Cl8Cu4Mn2,7,Cl,zz,7.94423,-0.37003794,-8.31426794,8.31426794
mp-34328,Cl8Cu4Mn2,11,Cl,zz,7.94423,-0.37003654,-8.31426654,8.31426654
mp-1118943,Cs24N40Re16,38,Re,yy,-3.35947,4.88466835,8.24413835,8.24413835
mp-1118943,Cs24N40Re16,30,Re,yy,-3.35947,4.88465881,8.24412881,8.24412881
mp-1118943,Cs24N40Re16,29,Re,xx,-3.35232,4.88464737,8.23696737,8.23696737
mp-1118943,Cs24N40Re16,37,Re,xx,-3.35232,4.88462639,8.23694639,8.23694639
mp-13445,As4Pt2Rb4,1,Rb,xx,9.14596,0.9281292,-8.2178308,8.2178308
mp-13445,As4Pt2Rb4,3,Rb,xx,9.14596,0.92812932,-8.21783068,8.21783068
mp-1118943,Cs24N40Re16,39,Re,yy,-3.31125,4.88465166,8.19590166,8.19590166
mp-1118943,Cs24N40Re16,31,Re,yy,-3.31125,4.88464928,8.195899279999999,8.195899279999999
mp-1118943,Cs24N40Re16,28,Re,xx,-3.30983,4.88465166,8.194481660000001,8.194481660000001
mp-1118943,Cs24N40Re16,36,Re,xx,-3.30983,4.88464355,8.19447355,8.19447355
mp-34328,Cl8Cu4Mn2,8,Cl,yy,7.94927,-0.21412805,-8.16339805,8.16339805
mp-34328,Cl8Cu4Mn2,12,Cl,yy,7.94927,-0.21412794,-8.16339794,8.16339794
mp-1118943,Cs24N40Re16,77,N,xx,2.75892,-5.39291716,-8.15183716,8.15183716
mp-1118943,Cs24N40Re16,57,N,xx,2.75892,-5.39290428,-8.15182428,8.15182428
mp-1118943,Cs24N40Re16,56,N,xx,2.75884,-5.39291048,-8.15175048,8.15175048
mp-1118943,Cs24N40Re16,76,N,xx,2.75884,-5.39291,-8.15175,8.15175
mp-1118943,Cs24N40Re16,59,N,yy,2.75824,-5.39291239,-8.15115239,8.15115239
mp-1118943,Cs24N40Re16,79,N,yy,2.75824,-5.39289761,-8.15113761,8.15113761
mp-1118943,Cs24N40Re16,78,N,yy,2.75797,-5.39293194,-8.15090194,8.15090194
mp-1118943,Cs24N40Re16,58,N,yy,2.75797,-5.39291143,-8.15088143,8.15088143
mp-768176,O16Ta4Tm4,11,O,yy,5.36434,-2.7856636,-8.1500036,8.1500036
mp-768176,O16Ta4Tm4,19,O,yy,5.36434,-2.78565073,-8.14999073,8.14999073
mp-9900,Ag8Ge4S12,20,S,xx,6.87941,-1.26700413,-8.14641413,8.14641413
mp-9900,Ag8Ge4S12,21,S,xx,6.87941,-1.26700008,-8.14641008,8.14641008
mp-9900,Ag8Ge4S12,15,S,xx,6.87941,-1.26699901,-8.14640901,8.14640901
mp-9900,Ag8Ge4S12,14,S,xx,6.87941,-1.26699865,-8.14640865,8.14640865
mp-768176,O16Ta4Tm4,12,O,yy,5.3603,-2.78566194,-8.14596194,8.14596194
mp-768176,O16Ta4Tm4,20,O,yy,5.3603,-2.78565407,-8.14595407,8.14595407
mp-13445,As4Pt2Rb4,0,Rb,xx,9.15533,1.01938748,-8.135942519999999,8.135942519999999
mp-13445,As4Pt2Rb4,2,Rb,xx,9.15533,1.01939559,-8.135934409999999,8.135934409999999
mp-3998,La4O16Ta4,23,O,yy,5.3706,-2.70441794,-8.075017939999999,8.075017939999999
