index,nonpolar_mpid,polar_mpid,formula,split,nonpolar_split,polar_split
176,mp-23080,mp-551918,Al6Bi6O18,train,train,train
177,mp-625174,mp-625256,H20I4O24,train,train,train
178,mp-23335,mp-622198,Bi16Ti12O48,test,train,test
179,mp-542833,mp-559949,Zn24B16O48,valid,train,valid
180,mp-625830,mp-625857,Zn4H8O8,train,train,train
181,mp-626464,mp-626450,H12O16P4,train,train,train
182,mvc-14413,mvc-14734,O18Te6,train,train,train
183,mp-9911,mp-9781,K12S16Sb4,train,train,train
184,mp-558712,mp-561113,Ag8Bi4O12,train,valid,train
185,mp-6319,mp-19931,Al4Mg4Na8F28,train,train,train
186,mp-561189,mp-27376,Rb12O46Si20,train,train,train
187,mp-765913,mp-762593,Fe12Li12O48P12,train,valid,train
188,mp-23335,mp-723064,Bi8Ti6O24,train,train,train
189,mp-551736,mp-545387,K12C3O12,train,train,train
190,mp-642831,mp-23667,Rb8H16O32P8,train,train,train
191,mp-558958,mp-557082,H24O12,train,train,train
192,mp-27425,mp-625184,Sr4H8O8,test,valid,test
193,mp-549869,mp-605843,K8C2O8,train,train,train
194,mp-23037,mp-675524,Cs4Pb4Cl12,train,valid,train
195,mp-32324,mp-868169,Li12Ni12O48P12,train,train,train
196,mp-626577,mp-626586,Mo2H4O8,train,train,train
197,mp-551740,mp-550498,Li8C2O8,train,test,train
198,mp-315,mp-685150,Pb4F8,train,train,train
199,mp-2998,mp-5020,Ba3Ti3O9,train,test,train
200,mp-625394,mp-625733,La2H6O6,train,train,train
201,mp-696752,mp-23959,K8H16O32P8,test,train,test
202,mp-20878,mp-550714,Pb4O4,test,train,test
203,mp-4419,mp-4681,Na4Nb4O12,test,train,test
204,mp-935811,mp-7375,K3Nb3O9,train,train,train
205,mp-14550,mp-20940,Cd4Ti4O12,train,train,train
206,mp-10948,mp-553881,O8Si4,train,train,train
207,mp-23101,mp-583454,Bi8Nb8Pb4O36,train,train,train
208,mp-23711,mp-569051,Mg4H8,valid,train,valid
209,mp-3671,mp-558920,Na8Nb8O24,train,train,train
210,mp-619456,mp-4202,Al16Ba8O32,train,train,train
211,mp-2998,mp-5777,Ba2Ti2O6,test,train,test
212,mp-552588,mp-3731,Li6Nb6O18,test,train,test
213,mp-771049,mp-761299,Co4Li8B4O16,train,train,train
214,mp-24076,mp-625677,Y2H6O6,train,train,train
215,mp-762566,mp-764344,Fe2Li4O8Si2,train,valid,train
216,mp-554675,mp-559951,Bi8Sr4Ta8O36,train,train,train
217,mp-546202,mp-550593,Li12C3O12,test,train,test
218,mvc-13972,mvc-3494,Al6Bi6O18,train,train,train
219,mp-546320,mp-551690,Rb12C3O12,test,train,test
220,mp-556225,mp-560025,Ag4S2,valid,train,valid
221,mp-32791,mp-560025,Ag4S2,train,train,train
222,mp-36216,mp-560025,Ag4S2,train,train,train
223,mp-770125,mp-770427,Ba4La4Cl20,train,train,train
224,mp-570223,mp-642739,Cs2Br6Ge2,train,test,train
225,mp-690733,mp-625475,H8O16S4,test,train,test
226,mp-765871,mp-765846,Li4Mn4O16P4,train,train,train
227,mp-549687,mp-551561,K8C2O8,train,train,train
228,mp-779986,mvc-13134,Cr4O12,test,train,test
229,mp-767686,mp-764791,Li8Mn4O24Si8,train,valid,train
230,mp-634101,mp-684609,Cl2H2,valid,train,valid
231,mp-865188,mp-989229,Mg2Cl4H16O24,train,train,train
232,mp-3943,mp-555966,Ba6Ti12O30,train,train,train
233,mp-654937,mp-600237,Ag16C32O32,train,train,train
234,mp-549869,mp-551561,K8C2O8,valid,train,valid
235,mp-625812,mp-625836,Sr4H16O24,train,train,train
236,mp-625191,mp-625184,Sr4H8O8,train,train,train
237,mp-2998,mp-12992,BaTiO3,valid,train,valid
238,mp-23940,mp-626000,Na2H2O2,test,train,test
239,mp-12924,mp-861938,K2La2S8Si2,train,train,train
240,mp-556290,mp-561022,Mg12Sr12F48,train,train,train
241,mp-763828,mp-765128,Co4Li8C8O24,train,train,train
242,mp-763828,mp-765126,Co4Li8C8O24,train,train,train
243,mp-777744,mp-768350,Ba8Y4F28,train,train,train
244,mp-559091,mp-972808,O8Si4,train,train,train
245,mp-761990,mp-763217,Li4Ni4O16P4,train,train,train
246,mp-655275,mp-610992,Hg2C4N4S4,train,train,train
247,mp-626577,mp-626582,Mo2H4O8,train,train,train
248,mp-615173,mp-565192,BiCuW2O8,train,train,train
249,mp-560498,mp-554570,C6Cl2H20N2O8,train,valid,train
