direct_mode_index,foundation_mode_index,overlap_abs,direct_frequency_cm-1,foundation_frequency_cm-1,frequency_ratio_foundation_over_direct,direct_raman_activity,foundation_raman_activity,activity_ratio_foundation_over_direct,direct_frobenius_norm,foundation_frobenius_norm,frobenius_ratio_foundation_over_direct
21,21,0.9855985912466981,118.37164429418617,113.65771747282828,0.9601768916072292,6.10018270715133e-06,5.086082648823576e-07,0.08337590680457964,0.000704709198909979,0.00019841423538904734,0.281554768542752
22,22,0.9836432162164629,123.98347018573564,116.10900691368627,0.9364877974438618,0.0003486030295998671,0.00012777093737991905,0.36652273942247965,0.005491329438765123,0.0033572550223015998,0.6113738138895144
23,23,0.9693391692742332,139.8513910812932,133.27848379397727,0.9530007729169085,8.16443841509646e-06,2.891812374082029e-07,0.03541961157714071,0.0007737889728629995,0.00015123993505075783,0.19545372233875846
24,25,0.8447771570454135,140.24340823489734,135.09634244658196,0.9632990537445123,5.114633409320163e-06,6.520987568989324e-06,1.2749667565824807,0.0006708229800760613,0.0007880602846649556,1.1747663811034044
25,24,0.8431707270193626,140.4261071754467,133.79036014976862,0.9527456314274421,1.6504903578118374e-05,8.659053360788921e-07,0.05246351982491308,0.0010674454363139149,0.00025417282372812173,0.2381131766376998
26,26,0.9730269912265097,143.42333473265123,136.62117787114505,0.952572871951515,4.012179356420099e-05,1.0231702887260097e-05,0.25501608922063296,0.001912544896152977,0.0009844607748328452,0.5147386483909772
27,28,0.5038362038943089,162.99178764010705,154.55197609555304,0.948219406224383,0.0018248502537210843,2.950327712239318e-06,0.0016167505833551287,0.011037334124904638,0.00045311705634501693,0.041053124895676
28,27,0.6926173415724588,163.76297032022688,153.84380961054208,0.9394297704158114,0.0004781570711005209,1.2533358062920659e-06,0.0026211801143239443,0.005649829135577111,0.00030761144677453073,0.054446150386654
29,29,0.7419208380415865,165.38373540439378,160.80636334473857,0.9723227193504689,0.002687093479235177,0.0008770782263222322,0.3264040618980898,0.013393651898697708,0.007680687261218936,0.5734572855343317
30,31,0.816467860900052,170.55849507902315,164.85782289902784,0.966576439494532,0.00046570105754262583,2.718559814510132e-05,0.05837564185177528,0.00557778391774858,0.0013589306562528992,0.24363271799195457
31,30,0.9153465743378421,171.39449616237818,164.78023658880528,0.9614091483584947,1.347478383155684e-05,1.0455356827638239e-05,0.7759201897660613,0.0010026729610995294,0.0008690089672014252,0.866692332311895
32,34,0.6783863764644376,173.08945514738045,168.39779193166112,0.9728945751679412,0.00016734051241646015,3.8056619713105003e-06,0.02274202413005258,0.003342225450109924,0.0005164114322474276,0.15451125005060418
33,32,0.674102141305734,176.42946737867834,167.85387578389336,0.9513936548004263,3.599508999196455e-05,6.1244586122763875e-06,0.17014705654697893,0.0015591382803079356,0.0006476469196094032,0.41538773551342123
34,33,0.6276445742344211,178.2325782149528,168.13586809933,0.9433509282267918,4.901317233807756e-06,1.2265638025314691e-06,0.25025186985878306,0.0006691706107227015,0.0003168608546063861,0.4735128075397359
35,36,0.7782911829827491,178.6542360012239,173.0580814016465,0.9686760598302351,9.169091431352054e-06,2.476177763131042e-06,0.2700570478187401,0.0009190357140414307,0.0004659356520168501,0.5069831834585761
36,35,0.9521111579036436,180.21049405625232,172.19743017672167,0.9555349763536557,2.1946046152302543e-05,3.937561589823326e-06,0.1794200906394341,0.0013032771014884394,0.000606872383472843,0.4656510751088542
37,37,0.9004880400172248,182.36772993304876,175.1897386689417,0.9606400141804569,4.8142134422560086e-05,3.2281488989927266e-06,0.06705454458371439,0.0018536917472657835,0.0005101645021117402,0.27521539266937917
38,39,0.7706002659517662,185.04703420694958,178.0096955211912,0.9619700001358136,4.436687484528045e-05,6.994582730712601e-05,1.576532662060297,0.002048358352024412,0.0024310855875969255,1.1868458393494774
39,38,0.6430242238020765,187.0032243487482,176.69582804349096,0.9448811840482779,7.609646143435739e-06,7.210082081804151e-06,0.9474924255214862,0.0008088569587676624,0.0007551730594253212,0.9336299221259942
40,40,0.7861763165225246,187.43093635143333,179.49293761783747,0.9576484069912978,6.0962113849174585e-05,1.0501063113003295e-05,0.1722555608715244,0.002238506102267899,0.000941835029751493,0.42074266797722426
41,41,0.9780954537857183,191.10708793250308,186.09731009173112,0.9737854943269223,0.00018436933147229008,5.325910723942891e-05,0.288871835755577,0.003583921780642389,0.002017059118703933,0.5628077960848775
42,42,0.9977983251550935,205.04270264781735,195.8800504368535,0.9553134440160903,4.008316985824351e-06,5.789496412403514e-06,1.4443709000257239,0.0006174044356364339,0.0007413006996888449,1.2006727793017813
43,43,0.9873502897900025,214.5032313443961,204.55800300244226,0.953635997557602,2.0033946349158387e-06,2.907807004926073e-07,0.14514399481000048,0.00040381128728164066,0.00015834882814917643,0.39213571570805317
44,44,0.9891509854136293,216.83953923376257,205.75559755416842,0.9488841300864176,5.933601233816149e-06,2.250303891951083e-07,0.03792475771924797,0.000645142846187014,0.00013947978247597672,0.21619984364756378
45,45,0.9419533856007121,222.4110704843413,211.95864840838416,0.9530040386335309,0.0003537151410674446,7.402343582669081e-05,0.20927415095464177,0.004961024383950425,0.0023649479821336718,0.4767055751196454
46,46,0.9284122230346583,223.4548794854379,215.94819153745928,0.9664062473584614,4.593025882563905e-05,6.286575081205878e-07,0.013687218931360788,0.0017817512714886556,0.00024284110850701093,0.1362934952778885
47,47,0.9786162140811808,224.67256345549973,216.03779339267044,0.9615673140946756,6.0318790238578e-06,4.1892225165638696e-07,0.06945136830487318,0.0006592084078923883,0.0001973202037271735,0.2993290154748524
48,48,0.9882928562793071,228.65122049352195,219.61087184119796,0.9604622768563786,1.3627562243302012e-05,2.7593449579706696e-05,2.024826530751599,0.0010961356949022198,0.001621032663551044,1.4788613043895513
49,49,0.9445449580921949,233.1256702739856,223.8184902134113,0.9600765542051382,2.2971295242173653e-05,1.866465047677348e-06,0.08125205949426187,0.0012733271257905753,0.00039211834980690903,0.3079478492720031
50,50,0.9580907491609073,234.10408104390407,224.63720529704497,0.9595612528212027,3.7715228004542277e-06,2.653401591772417e-06,0.7035358745419361,0.0005323123854801393,0.00044800057958679896,0.8416121657261607
51,51,0.9785137905742085,239.83662526608757,226.57399659384558,0.9447014038930555,0.00011609456932282237,8.888469079480009e-05,0.7656231580276577,0.0033246161112216992,0.0028855117270671694,0.8679232821280013
52,52,0.9474386282746743,244.729340411885,236.2296714592388,0.9652691052967287,9.379186464035188e-05,2.8609820772526018e-05,0.3050352062221106,0.002829486750822204,0.0016466742791202062,0.5819692488900006
53,54,0.985650751126828,249.41488961181102,240.88536982189214,0.9658018821442689,2.9581952955384868e-05,3.534310639756626e-05,1.194752302218528,0.0015625326477590761,0.0017816567398521508,1.1402364887590246
54,53,0.947497702780277,251.60129053272343,239.37955719813706,0.9514242025201505,0.0001709213007511914,0.00018862566141919203,1.103581944381366,0.0040124618804182905,0.004238333662051274,1.0562925675967885
55,55,0.9518253882094703,263.75222535252396,249.59966888756503,0.9463414708784238,9.227773669435756e-07,2.6604149029182977e-06,2.8830517503156017,0.00029475814434678046,0.0004977444090104873,1.688653625207028
56,56,0.95040307873529,264.3581826173065,249.95998512525813,0.9455352682882842,2.3266404147153284e-06,2.3162593585411883e-06,0.9955381776623139,0.00044275132459322363,0.0004597973030317989,1.0385001184451255
57,57,0.7620193191487667,265.877108541604,251.1080145726051,0.9444514270144928,2.8675440839024707e-05,5.318875557552522e-05,1.8548539802443103,0.0016479889432638268,0.0022073992615961407,1.3394502861314148
58,58,0.7519042751868641,268.751879067541,255.39564202364772,0.9503027212675352,1.7599869152767616e-05,2.017505998772604e-05,1.1463187488841908,0.0012341357049765033,0.001385727086233848,1.1228320197252788
59,59,0.8212727005900939,272.0505399122054,260.4627680545179,0.9574058119442547,2.4666400042838866e-06,8.396748301283592e-07,0.3404123944596987,0.00047774406578033745,0.00028259071364183794,0.5915106725193122
60,61,0.677287219199567,272.58500454637397,263.0082364093461,0.9648668562932684,5.365469565855698e-06,3.424936238245088e-07,0.06383292638617122,0.0006302184006001628,0.0001806053637163026,0.286575833939965
61,60,0.7404501977400022,277.119363464264,260.91667264628256,0.9415317262011867,1.5123703859973276e-07,5.458898979597087e-07,3.6094987247434327,0.00011843562519316986,0.00020503852461660593,1.7312233906156678
62,62,0.8834413525345628,278.8112362470288,264.14744280523183,0.9474060169196169,1.661228502205902e-06,1.4884321041863375e-06,0.8959827634849074,0.00035437333111345214,0.00037648940474183004,1.062408967285683
63,63,0.9874582363051452,282.69557394354234,266.7014968515157,0.943422966023441,3.4053811588884704e-07,2.051226060434354e-05,60.23484493300839,0.00017071085463148464,0.0013965962558288533,8.181062995927826
64,64,0.9846378785446942,292.09593365956715,280.3462700033536,0.9597746414713613,3.2894309952500746e-05,1.4891074105521309e-05,0.4526945276257189,0.0017441055274353568,0.0011887543927233337,0.6815839833220145
65,66,0.7332198966097113,298.4447671269425,283.3029759049438,0.9492643433900178,3.1902975697292278e-06,1.5238173273008883e-06,0.4776411271974922,0.0005470421547566289,0.00036837843483496284,0.6734004530214843
66,65,0.736004000964108,298.5328453369483,283.1548305124833,0.9484880304975885,3.268757733275284e-06,1.9278682014323273e-06,0.5897861997562633,0.0004860792880231277,0.0004245345561159028,0.8733854055836738
67,67,0.7910970690542747,303.6056382530948,286.99873186391363,0.9453010606629869,0.00018431303121563058,7.809492314995103e-05,0.4237080939686061,0.0036568710116292695,0.0027236298415101723,0.7447978976695423
68,68,0.7820131871204616,304.39914187887666,291.0168875578157,0.9560371483360296,8.398186350337803e-06,4.325755390230521e-05,5.1508209151092785,0.0008575847714306711,0.002029126137261528,2.3660939476297207
69,71,0.7804975318989034,313.58403355196805,299.7883952521553,0.9560065665858383,5.609845307212209e-06,3.264095884264772e-05,5.818513177303372,0.0007224903989000835,0.0017614842949871534,2.4380729455627783
70,69,0.9516389176276321,313.7863678231894,298.17558769434663,0.9502502921425859,9.5950655905855e-07,1.1497470770053606e-06,1.198269116715024,0.00027888957794633884,0.0003295939101759004,1.181807913378956
71,70,0.7473616852949627,314.572245965001,298.4887331215328,0.9488717995634692,3.3483107402957955e-06,5.04177223618565e-07,0.15057659301180187,0.000551321606168565,0.0002176835740862859,0.39483954855150327
72,72,0.9507363976119538,323.5503605717909,306.1152803801587,0.9461132413488267,0.00010999337672044874,7.59978366673199e-05,0.690931026333254,0.003161587229963087,0.0026903250374972513,0.8509412651975641
73,75,0.7557385144841053,325.1178096145153,311.6373066344749,0.9585365594212636,1.4482156657888381e-06,1.1000825781946752e-06,0.759612400405477,0.00036100439857895153,0.0003235076517488721,0.8961321607778724
74,76,0.6445243211736401,326.2055394535923,311.87703834723635,0.9560752367039604,3.0455214033538074e-05,9.279565102731718e-07,0.03046954486188414,0.0015831009840929766,0.00028765634156665507,0.181704353959116
75,73,0.7552376754000963,326.9992691742289,310.37435805384314,0.9491591795835854,6.434949971254609e-06,5.701658247877192e-07,0.08860454662968502,0.0007125257775328146,0.00023231343087156577,0.32604214218883726
76,74,0.6774404885868636,328.6980606250657,310.9726736944706,0.9460739534121747,1.4706998091806387e-06,1.3207656969812368e-06,0.8980525384830684,0.0003385014977196684,0.00035460356760770405,1.0475686813692349
77,77,0.7906838479865803,343.7275696542102,324.24449265392394,0.9433182592252166,6.41365403529453e-05,4.7843067335767464e-05,0.7459564714979267,0.002447525273678079,0.002132638398810765,0.8713447913066449
78,78,0.7807096378529397,346.1971996566042,327.65754089227005,0.9464476928677534,0.0003345488321320075,2.5943477166260797e-05,0.0775476542570142,0.005643445567267075,0.0015645358589319483,0.2772306103219135
79,79,0.9855741891561187,347.3313744271834,328.6068689232813,0.9460903710907705,2.0181285675286397e-05,2.622314957134126e-07,0.012993795337555531,0.0013819789363621203,0.00015637902328748297,0.11315586596358003
80,82,0.9280755338757523,352.97186995576266,337.11685828517426,0.9550813732760759,1.9143205087139047e-06,5.457283848953974e-06,2.850768104981717,0.00042582850858952233,0.0007207426192916325,1.692565445368978
81,80,0.9534004295498019,355.3266280996248,335.3195202014302,0.9436937557840862,1.980613407623886e-06,9.235130698912666e-07,0.4662762891215566,0.0004110326574372634,0.0002893650492234917,0.7039952762577216
82,81,0.8857495681249914,356.0421309841476,335.8268719277312,0.9432222838332678,1.0598153181235253e-05,1.771744505046056e-06,0.16717483459128044,0.0009587070316014436,0.00039047586780255035,0.40729425667223024
83,83,0.9634743427440761,358.55643900689,340.21953553754014,0.9488590875117501,9.254495483431021e-05,0.0002259459614542757,2.4414724914913273,0.0027973855701713198,0.004631896223943503,1.655794708221017
84,84,0.9759482910846627,372.76239478381405,352.54860073848096,0.9457729794416193,3.368135037179827e-05,1.6720850288994566e-06,0.04964423962940364,0.001635231290422285,0.00037291366920110284,0.2280494945181736
85,85,0.9764969885319208,373.34427154283213,352.79227376434363,0.9449516188006365,0.00015719659079014263,5.482827856107757e-06,0.03487879621656254,0.0032552402261159883,0.0006423571171985025,0.19733017306834377
86,87,0.590546455646356,376.4664541038435,358.14853356372186,0.9513424892432278,0.00020679249845426055,8.98700171500463e-05,0.43459031551825955,0.004437308417445942,0.002925478288342687,0.6592911767955393
87,86,0.9144163875075152,377.35504558332417,357.0321112715742,0.9461437324089987,8.332019500060366e-05,0.0006069663948821978,7.284745251469951,0.002763966179216294,0.00760288030866127,2.750713943546524
88,88,0.6784729375403096,378.6139808691934,359.0512609241136,0.9483306984592349,5.780963600654174e-05,0.0004792264638323676,8.289733285608966,0.0023226798124109872,0.006755249394186452,2.908385976444326
89,90,0.696939938983767,380.1018943726283,361.3538210941796,0.9506761908950938,0.00017877983060110724,0.0009229577328045521,5.1625383562637515,0.004117410338175602,0.009373555021295927,2.2765656690533516
90,89,0.6030747959628362,380.8327238552963,359.42570301806967,0.9437889144070493,7.957824227841669e-05,0.00041691383644770075,5.239043041300959,0.0025141190115465536,0.006300585631649826,2.506080898602345
91,91,0.9684453744634932,384.46448285116145,364.32976853840415,0.9476291953851246,2.6597183579252057e-05,5.5997324150911495e-05,2.1053854812880983,0.0015246790515145586,0.0023069642053648825,1.5130818535699244
92,92,0.9587594361915401,386.58613595660347,365.47052316701985,0.9453792807718434,2.765798497335965e-06,4.6227585751105854e-06,1.6714010726245085,0.000466135957558486,0.0006605147657852168,1.4170002444026044
93,93,0.9645261775061706,388.2165816282335,366.3566678071094,0.9436914473631172,4.045084735711925e-05,3.751261152941522e-05,0.927362811419897,0.0016997900153907126,0.0018850696019014983,1.1090014559640753
94,94,0.9689740716434482,389.6097773577103,367.96803448554533,0.9444527726718338,2.3083364850100617e-05,5.556840624503837e-06,0.2407292290612309,0.0012606340401750198,0.0007166487116257071,0.5684827545400974
95,95,0.9781262841378481,391.13133405908525,368.76962591339463,0.9428281341880101,2.3621272371387387e-06,2.7764385021674244e-06,1.1753975224173545,0.00047055010178225333,0.0005122233052935066,1.0885627340285595
96,96,0.961668627772154,395.22824147894306,372.46261518753124,0.9423987865689383,5.525566112307208e-05,4.803312152966963e-06,0.08692886946494852,0.002011872386460368,0.0006526140496058594,0.3243814339308321
97,97,0.9234213960147292,399.9953038480786,380.06532367124987,0.9501744645872185,3.673603117434786e-05,8.032266317551562e-05,2.1864817893448314,0.001772761718333651,0.002711894801071842,1.529757086373092
98,98,0.8853992643349377,402.26274645456306,380.56077723237036,0.946050263382657,1.72913400368266e-05,3.407019258269007e-06,0.19703616093448134,0.0011677619985911722,0.0005211223579388504,0.4462573354566685
99,100,0.8414856856991098,402.54634162005976,383.4376572594548,0.9525304731780657,6.795961999335013e-05,1.9199885847566467e-05,0.28251902893873126,0.0022610153035666847,0.0013402386007010803,0.59275963262473
100,99,0.8919656662981582,403.77919554165743,381.28187798264906,0.9442831185771499,0.00015458449979435617,0.0001398457985005238,0.9046560210536032,0.003544854134776764,0.0036218195544974185,1.0217118721375826
101,101,0.9344963912006269,410.2161721586271,389.9232930346318,0.9505312552227994,0.0011929268232463803,5.488618263070962e-05,0.04600968103084873,0.009221468126509593,0.0020463136624326557,0.22190757852862672
102,102,0.9189804863513854,413.6842616656281,391.8286152747587,0.9471682913368001,0.0001248701391486792,4.649535716930914e-06,0.037234968653273054,0.002948419722139354,0.0006646447939873009,0.22542407683565452
103,103,0.7770013209051567,414.38119418406865,392.3784255932725,0.9469021063223673,0.0007565572290269787,2.3826681040785986e-05,0.0314935607335745,0.007420232139190713,0.0013931641014393067,0.18775209121574085
104,104,0.8117993418051891,417.7624099546728,393.02280342970136,0.9407806783581708,2.8632413833771707e-05,0.00010462594615124757,3.654108478546859,0.001644836838682879,0.0031083355260488185,1.8897531067810056
105,105,0.970123062084899,420.39442480513594,395.98926789532084,0.9419470015066742,0.0007130001209741497,0.0008406361882849641,1.1790126867530248,0.008236944596116492,0.008946717402274207,1.0861694282237073
106,106,0.9602575760198262,424.3853557482325,401.61179213386015,0.9463375366140513,0.0004411927280861058,0.0005368249899200208,1.2167584725359546,0.00610403970813924,0.007148133272044978,1.171049602202542
107,107,0.9723258297666525,426.7583325269312,403.78603161678376,0.9461702346287574,0.0011698139003566673,0.00010797505155680224,0.09230105021309926,0.00892061904154761,0.0029485287465023397,0.3305296115403678
108,108,0.9439806009173911,429.8467538122302,406.56694549016413,0.9458416095606125,0.0014394464607662585,0.0005458662518555579,0.37921955886082603,0.009832356255360405,0.006236290358009503,0.6342620421844054
109,109,0.6441067895875171,433.2572253613565,409.3015959668072,0.9447080671890257,0.0006606650622735857,3.4387031331774585e-06,0.005204911428710407,0.006661380828542217,0.0005300645168362854,0.07957276884172454
110,111,0.5627098496295079,434.027544271707,409.6058986142467,0.9437324981334089,0.0016377038778072383,2.1109769166689702e-05,0.012889857228007598,0.010452176559379012,0.0012596634157061191,0.1205168520211984
111,110,0.610524612706635,434.79358195065913,409.5015260642607,0.9418297395906166,0.0004557861243258516,2.858571588163941e-05,0.06271738948595734,0.0055200463435812345,0.0016232784856890557,0.2940697205516436
112,112,0.7292935108165828,436.8846581719455,412.62493725521733,0.9444711081908026,0.00039434744596174087,0.00019428225216447715,0.4926677075102096,0.00518128544276743,0.004287154100642418,0.8274305957466341
113,113,0.7538103156362018,438.34013337020974,414.54263291954607,0.9457099666697301,0.031038429109289677,0.0010243623672711406,0.033003035162129164,0.04549812316814208,0.008307094864667233,0.18258104480414888
114,114,0.798315196120141,439.54653407469306,415.49264746925263,0.9452756767697481,0.004652041281874193,1.5823235130770866e-05,0.0034013531204942515,0.017616534716015684,0.001149754680085957,0.06526565517114344
115,115,0.7168119143382589,440.1233602638659,415.92777146703844,0.9450254383627319,0.006636162536405704,0.000609204762528928,0.09180075972926473,0.02104103074171011,0.006413894750448265,0.3048279729820392
116,117,0.5573470228170017,445.6818932964832,419.76482268774936,0.9418485000208592,0.0006093736791499926,0.0014017627464312104,2.300333595613304,0.006505425709695325,0.00970797416805869,1.4922888372378866
117,116,0.7408702229081588,445.7396614419252,418.83399958882137,0.9396381695852091,0.0001491720394452207,0.00010629924103380777,0.7125949435909081,0.003386737367299082,0.0027157951146568925,0.8018912658771457
118,118,0.8308412411072467,448.16623716688315,420.98063569884033,0.9393403625406977,7.114203023524187e-05,3.1725227826509926e-06,0.04459421205946143,0.002193089446123169,0.0004956440226793987,0.22600264825293503
119,119,0.7784774822082638,448.2303859068962,421.01420865925945,0.9392808294498581,0.00024839967024842035,0.00033023818277894883,1.3294630481944003,0.004075187006874593,0.004738689930108466,1.1628153314472645
120,120,0.9894040617727974,460.4309964669413,432.7392780366936,0.9398569630569258,5.26403864234286e-06,3.365482701348742e-06,0.6393347256757352,0.0007075125381460053,0.0005653627616622521,0.7990851485738355
121,121,0.9916911248577585,473.53261008289195,453.1029302876151,0.9568568682277222,0.002049549096909252,9.066711959333426e-05,0.04423759339557248,0.01177760350232215,0.002751102395468614,0.2335876220426497
122,124,0.9273796201554907,503.27345961624235,481.6616723987329,0.9570575662106463,0.00015480860007612625,2.018462893279127e-05,0.13038441612976018,0.0033411917537521287,0.0013843283548546485,0.41432173214843476
123,122,0.9381067957629583,505.0308524028613,478.9996088929487,0.9484561321628969,3.7324762711233816e-06,1.482015885123971e-06,0.3970596937453326,0.0005455039732248486,0.0003713056742373435,0.6806653891855282
124,123,0.9594638476851381,507.2988932554008,480.534663963079,0.9472416958756359,4.180105546620789e-06,1.7007425995747662e-06,0.4068659464710531,0.000563801523229101,0.00039210582403012914,0.6954678337589322
125,125,0.9712953550265844,520.6400538238566,497.83711853417714,0.956202110993569,2.2380220336899246e-06,5.26230147196137e-07,0.23513179909516724,0.00038902481916094336,0.00022359707107761395,0.5747629972809258
126,126,0.9813100760892932,522.694845436367,498.6934335234013,0.9540814069193119,3.3786969471098318e-06,4.246280175617069e-07,0.12567804221829887,0.0004779896143992969,0.00019937522158509563,0.4171120367032579
127,127,0.9632669759921308,547.1218518849371,510.690258489728,0.9334122860022948,4.55581134624522e-05,2.4777739639408707e-05,0.5438710639287088,0.0018688775870221983,0.0015294349914791688,0.8183708778465876
128,128,0.9630997805343624,549.4106052820749,513.4919147267099,0.9346232304035632,2.66254928283282e-05,2.4020947140311666e-05,0.902178498448471,0.0015384610227892495,0.0014717258087620709,0.9566220963426251
129,129,0.9473338766555787,583.1038412176672,556.1955029492125,0.9538532652910272,8.606385356298901e-05,4.043635886945127e-06,0.046984137004574655,0.0024001411577492,0.0005912679172790563,0.2463471431128386
130,130,0.9254260835811634,584.8892977885148,557.1788792473815,0.9526227977740278,1.3487304833088452e-05,9.064704641644586e-07,0.06720916264460869,0.0009506961071274262,0.0002691655483072282,0.2831246980915119
131,133,0.7321610306913439,588.6092269942095,561.5853612391346,0.9540886134370082,0.0004886449441580089,2.1390604118787588e-05,0.0437753513558726,0.005756361601380599,0.0013201580901640226,0.22933897860888333
132,131,0.9129064240461917,589.6041799565205,560.3512163161313,0.950385420194025,3.092799245237937e-05,9.242992271845305e-06,0.2988552291609932,0.001449369645733389,0.000903905450422006,0.6236541886211677
133,132,0.7065275467322628,591.0090598419496,561.5298000607112,0.9501204604390974,1.600782803164767e-05,3.007438232739549e-05,1.8787297232290394,0.00104034536334343,0.0015328274625429474,1.4733832788150212
134,134,0.99480327496855,621.5870866301035,588.3700405545845,0.9465609135228289,1.79758484623559e-05,0.00029111418124719887,16.19473939474041,0.0012369700161242953,0.0052654510624817385,4.256732979655868
135,135,0.9294244091466886,667.6652928978784,639.0248009787177,0.9571035184488145,5.796697845572363e-05,0.002095195405141206,36.144637187559454,0.002338619323756341,0.014124734931622475,6.039775173385218
136,136,0.9272130089797727,668.2383420852527,639.5829744950804,0.9571180433903979,1.1542102073890412e-05,5.945640141365962e-05,5.151262831764152,0.0010483968594021328,0.0023782657944490266,2.2684785566844177
137,137,0.9796951235721824,669.5540129526847,640.4827431530824,0.9565811432129275,0.00014015430800436634,0.00350953348913411,25.040496714698023,0.00363886221817341,0.018281260135718933,5.023894569136924
138,138,0.9824804679050501,672.4279570804592,642.4441712591394,0.9554096680460712,0.00015485182463954714,0.00528560716200813,34.13332180173907,0.0038387280745285413,0.02243637736371661,5.844742562670882
139,140,0.9548905113956405,682.4628426886259,654.1436957382417,0.9585044852569288,5.192492007184035e-06,2.483057642817433e-05,4.782015339420873,0.0006452392085367531,0.0015370946727554793,2.382209035686531
140,139,0.9547483627356608,686.6547615442936,651.7908668644694,0.9492264575557374,2.565648963965056e-06,8.097049297344709e-05,31.5594588779254,0.0004885878567465294,0.002776376582919727,5.682451056822031
141,141,0.7465855975191044,717.2564003807865,679.9545129038027,0.9479936498898015,4.6705852801396535e-06,2.248124718035816e-06,0.48133683108096376,0.0006406325624639791,0.0004613146232806848,0.7200923748027922
142,142,0.7469542719218388,717.7501472237064,680.3476396221566,0.9478892372976522,7.317768012000446e-07,7.283343980198012e-06,9.95295829036124,0.00024267674414082282,0.0008046539859219286,3.315744113721075
143,143,0.9774149231485368,752.5624388542394,722.3671101390358,0.9598766465661304,3.7957646972851814e-05,0.0011469817518092104,30.217409225328385,0.0019009209308326108,0.010438267727610286,5.491163550415684
